contesto;catalogo;attributi;reference;commento;fonte;condizione d'uso;chiave_match;articolo;descrizione;unita;ucd
identificativi;IV/38/tic;TIC;;solo se c'è (solo per stelle molto intense);VizieR;solo se disponibile;RA/DEC cone;Stassun et al., 2019;Identificatore nel catalogo TIC (TESS Input Catalog);;ID_MAIN
identificativi;I/255/out;GSC;;;VizieR;preferibile se presente;RA/DEC cone;Lasker et al., 2008;Identificatore Guide Star Catalog (GSC);;ID_MAIN
identificativi;I/271/out;GSC2.2;;va messo solo se non c'è GSC;VizieR;fallback se manca GSC;RA/DEC cone;Lasker et al., 2008;Identificatore Guide Star Catalog versione 2.2;;
identificativi;I/322A/out;UCAC4;;inserire sempre;VizieR;sempre;RA/DEC cone;Zacharias et al., 2013;Identificatore catalogo UCAC4;;ID_MAIN
identificativi;I/252/out;USNO-A2.0;;inserire sempre;VizieR;sempre;RA/DEC cone;Monet et al., 1998;Identificatore catalogo USNO-A2.0;;ID_MAIN
identificativi;I/284/out;USNO-B1.0;;inserire sempre;VizieR;sempre;RA/DEC cone;Monet et al., 2003;Identificatore catalogo USNO-B1.0;;ID_MAIN
identificativi;II/246/out;_2MASS;;inserire sempre, ATTENZIONE: con la J davanti;VizieR;sempre (formattare con prefisso J);RA/DEC cone;Skrutskie et al., 2006;Identificatore catalogo 2MASS (aggiungere prefisso J);;
identificativi;I/345/gaia2;Source;;;VizieR;sempre;RA/DEC cone;Gaia Collaboration, 2018;Identificatore sorgente Gaia DR2;;ID_MAIN
identificativi;I/355/gaiadr3;Source;;;VizieR;sempre;RA/DEC cone;Gaia Collaboration, 2023;Identificatore sorgente Gaia DR3;;ID_MAIN
identificativi;I/305/out;GSC2.3;;;VizieR;opzionale / se disponibile;RA/DEC cone;Lasker et al., 2008;Identificatore Guide Star Catalog versione 2.3;;ID_MAIN
identificativi;I/239/tyc_main;TYC;;;VizieR;opzionale;RA/DEC cone;Høg et al., 2000;Identificatore catalogo Tycho-2;;ID_MAIN
identificativi;I/146/ppm1;PPM;;;VizieR;opzionale;RA/DEC cone;Röser & Bastian, 1993;Identificatore catalogo PPM (Positions and Proper Motions);;ID_MAIN
identificativi;J/ApJ/833/119/distallw;HIP;;;VizieR;opzionale;RA/DEC cone;van Leeuwen, 2007;Identificatore catalogo Hipparcos;;ID_ALTERNATIVE
identificativi;V/15/catalog;HD;;;VizieR;opzionale;RA/DEC cone;Watson et al., 2006;Identificatore catalogo Henry Draper (HD);;ID_ALTERNATIVE
identificativi;V/15/catalog;SAO;;;VizieR;opzionale;RA/DEC cone;Watson et al., 2006;Identificatore catalogo SAO (Smithsonian Astrophysical Observatory);;ID_MAIN
identificativi;I/61B/agk3;BD;;;VizieR;opzionale;RA/DEC cone;Dieckvoss & Heckmann, 1975;Identificatore catalogo Bonner Durchmusterung (BD);;ID_ALTERNATIVE
parametri_fisici;J/MNRAS/522/29/table2;TIC;"Green, M. J.; Maoz, D.; Mazeh, T.; et al., 2023…; 2023MNRAS.522…29G";;VizieR;se presente;RA/DEC cone;Green et al., 2023;Identificatore TIC nel catalogo Green 2023;;ID_MAIN
parametri_fisici;J/MNRAS/522/29/table2;Porb;"Green, M. J.; Maoz, D.; Mazeh, T.; et al., 2023…; 2023MNRAS.522…29G";;VizieR;se presente;RA/DEC cone;Green et al., 2023;Periodo orbitale del sistema binario;d;
parametri_fisici;IV/39/tic82;Dist;"TESS Input Catalog v8.2 (Paegert+, 2021); 2021arXiv210804778P";;VizieR;se presente;RA/DEC cone;Paegert et al., 2021;Distanza stellare stimata;pc;
parametri_fisici;IV/39/tic82;Mass;"TESS Input Catalog v8.2 (Paegert+, 2021); 2021arXiv210804778P";;VizieR;se presente;RA/DEC cone;Paegert et al., 2021;Massa stellare stimata;M☉;
parametri_fisici;IV/39/tic82;Rad;"TESS Input Catalog v8.2 (Paegert+, 2021); 2021arXiv210804778P";;VizieR;se presente;RA/DEC cone;Paegert et al., 2021;Raggio stellare stimato;R☉;
parametri_fisici;IV/39/tic82;Teff;"TESS Input Catalog v8.2 (Paegert+, 2021); 2021arXiv210804778P";;VizieR;se presente;RA/DEC cone;Paegert et al., 2021;Temperatura effettiva stellare;K;
parametri_fisici;I/354/starhorse2021;dist50;"StarHorse2, Gaia EDR3 distances (Anders+, 2022); 2022yCat.1354…0A";;VizieR;se presente;RA/DEC cone;Anders et al., 2022;Distanza stellare (mediana 50° percentile);pc;
parametri_fisici;I/354/starhorse2021;teff50;"StarHorse2, Gaia EDR3 distances (Anders+, 2022); 2022yCat.1354…0A";;VizieR;se presente;RA/DEC cone;Anders et al., 2022;Temperatura effettiva stellare (mediana 50° percentile);K;
parametri_fisici;I/354/starhorse2021;mass50;"StarHorse2, Gaia EDR3 distances (Anders+, 2022); 2022yCat.1354…0A";;VizieR;se presente;RA/DEC cone;Anders et al., 2022;Massa stellare (mediana 50° percentile);M☉;
parametri_fisici;I/355/paramp;GMAG;;;VizieR;se presente;RA/DEC cone;Gaia Collaboration, 2023;Magnitudine assoluta in banda G (Gaia DR3);mag;
parametri_fisici;I/355/paramp;Mass-Flame;;;VizieR;se presente;RA/DEC cone;Gaia Collaboration, 2023;Massa stellare dal modello FLAME (Gaia DR3);M☉;
parametri_fisici;I/355/paramp;Rad;;;VizieR;se presente;RA/DEC cone;Gaia Collaboration, 2023;Raggio stellare dal modello FLAME (Gaia DR3);R☉;
